title,movie_id,averagerating,numvotes,ordering,region,year,runtime_minutes,genres,directors,id,production_budget,domestic_gross,foreign_gross,profit,genres_numeric
Gangster Squad,tt1321870,6.7,195560,10,RO,2013,113.0,Crime,Ruben Fleischer,4,60000000.0,46000903.0,58100000.0,44100903.0,21
Gangster Squad,tt1321870,6.7,195560,10,RO,2013,113.0,Drama,Ruben Fleischer,4,60000000.0,46000903.0,58100000.0,44100903.0,21
Geostorm,tt1981128,5.3,78287,10,IT,2017,109.0,Action,Dean Devlin,99,100000000.0,33700160.0,187095849.0,120796009.0,114
Geostorm,tt1981128,5.3,78287,10,IT,2017,109.0,Sci-Fi,Dean Devlin,99,100000000.0,33700160.0,187095849.0,120796009.0,114
Geostorm,tt1981128,5.3,78287,10,IT,2017,109.0,Thriller,Dean Devlin,99,100000000.0,33700160.0,187095849.0,120796009.0,114
Get Hard,tt2561572,6.0,111187,10,PL,2015,100.0,Comedy,Etan Cohen,97,40000000.0,90411453.0,16100000.0,66511453.0,115
Get Hard,tt2561572,6.0,111187,10,PL,2015,100.0,Crime,Etan Cohen,97,40000000.0,90411453.0,16100000.0,66511453.0,115
Getaway,tt2167202,4.4,22157,10,RO,2013,90.0,Action,Courtney Solomon,20,18000000.0,10501938.0,1312051.0,-6186011.0,64
Getaway,tt2167202,4.4,22157,10,RO,2013,90.0,Crime,Courtney Solomon,20,18000000.0,10501938.0,1312051.0,-6186011.0,64
Getaway,tt2167202,4.4,22157,10,RO,2013,90.0,Thriller,Courtney Solomon,20,18000000.0,10501938.0,1312051.0,-6186011.0,64
Ghost,tt2175671,2.3,205,1,IN,2012,118.0,Horror,Puja Bedi,5,22000000.0,217631306.0,299968694.0,495600000.0,6
Ghost Rider: Spirit of Vengeance,tt1071875,4.3,103608,10,PE,2011,96.0,Action,Brian Taylor,73,57000000.0,51774002.0,97443353.0,92217355.0,94
Ghost Rider: Spirit of Vengeance,tt1071875,4.3,103608,10,PE,2011,96.0,Fantasy,Brian Taylor,73,57000000.0,51774002.0,97443353.0,92217355.0,94
Ghost Rider: Spirit of Vengeance,tt1071875,4.3,103608,10,PE,2011,96.0,Thriller,Brian Taylor,73,57000000.0,51774002.0,97443353.0,92217355.0,94
Girls Gone Dead,tt1884318,3.5,2230,2,US,2012,104.0,Comedy,Michael Hoffman Jr.,74,500000.0,0.0,0.0,-500000.0,99
Girls Gone Dead,tt1884318,3.5,2230,2,US,2012,104.0,Horror,Michael Hoffman Jr.,74,500000.0,0.0,0.0,-500000.0,99
Give Me Shelter,tt2559658,7.6,56,1,US,2014,90.0,Documentary,Kristin Rizzo,1,250000.0,0.0,0.0,-250000.0,11
Glass,tt4598720,8.2,84,1,US,2016,71.0,Drama,James Powell,100,20000000.0,111035005.0,134268500.0,225303505.0,70
Glass,tt4598720,8.2,84,1,US,2016,71.0,Mystery,James Powell,100,20000000.0,111035005.0,134268500.0,225303505.0,70
Glass,tt4598720,8.2,84,1,US,2016,71.0,Thriller,James Powell,100,20000000.0,111035005.0,134268500.0,225303505.0,70
Glee: The 3D Concert Movie,tt1922612,5.4,5449,10,PT,2011,84.0,Documentary,Jennifer Arnold,90,9000000.0,11862398.0,5600000.0,8462398.0,19
Glee: The 3D Concert Movie,tt1922612,5.4,5449,10,PT,2011,84.0,Music,Jennifer Arnold,90,9000000.0,11862398.0,5600000.0,8462398.0,19
Gloria,tt2618368,6.5,975,2,XWW,2014,126.0,Biography,Christian Keller,91,30000000.0,4167493.0,800000.0,-25032507.0,85
Gloria,tt2618368,6.5,975,2,XWW,2014,126.0,Drama,Christian Keller,91,30000000.0,4167493.0,800000.0,-25032507.0,85
Gloria,tt2618368,6.5,975,2,XWW,2014,126.0,Music,Christian Keller,91,30000000.0,4167493.0,800000.0,-25032507.0,85
Gods of Egypt,tt2404233,5.4,95111,10,IL,2016,127.0,Action,Alex Proyas,18,140000000.0,31153464.0,107683292.0,-1163244.0,79
Gods of Egypt,tt2404233,5.4,95111,10,IL,2016,127.0,Adventure,Alex Proyas,18,140000000.0,31153464.0,107683292.0,-1163244.0,79
Gods of Egypt,tt2404233,5.4,95111,10,IL,2016,127.0,Fantasy,Alex Proyas,18,140000000.0,31153464.0,107683292.0,-1163244.0,79
Godzilla,tt0831387,6.4,350687,10,JP,2014,123.0,Action,Gareth Edwards,41,160000000.0,200676069.0,328400000.0,369076069.0,47
Godzilla,tt0831387,6.4,350687,10,JP,2014,123.0,Adventure,Gareth Edwards,41,160000000.0,200676069.0,328400000.0,369076069.0,47
Godzilla,tt0831387,6.4,350687,10,JP,2014,123.0,Sci-Fi,Gareth Edwards,41,160000000.0,200676069.0,328400000.0,369076069.0,47
Godzilla: King of the Monsters,tt3741700,6.7,36479,10,DE,2019,132.0,Action,Michael Dougherty,25,170000000.0,85576941.0,213700000.0,129276941.0,79
Godzilla: King of the Monsters,tt3741700,6.7,36479,10,DE,2019,132.0,Adventure,Michael Dougherty,25,170000000.0,85576941.0,213700000.0,129276941.0,79
Godzilla: King of the Monsters,tt3741700,6.7,36479,10,DE,2019,132.0,Fantasy,Michael Dougherty,25,170000000.0,85576941.0,213700000.0,129276941.0,79
Going Under,tt1986015,6.3,7,1,US,2011,83.0,Action,Carman Spoto,85,500000.0,0.0,0.0,-500000.0,116
Going Under,tt1986015,6.3,7,1,US,2011,83.0,Horror,Carman Spoto,85,500000.0,0.0,0.0,-500000.0,116
Going Under,tt1986015,6.3,7,1,US,2011,83.0,Thriller,Carman Spoto,85,500000.0,0.0,0.0,-500000.0,116
Good Intentions,tt1070781,5.2,605,2,US,2010,84.0,Comedy,Jim Issa,43,10000000.0,0.0,0.0,-10000000.0,25
Good Luck Chuck,tt5138210,7.4,8,1,CA,2016,51.0,Comedy,Sterling Johnston,22,25000000.0,35017297.0,24166524.0,34183821.0,25
Goosebumps 2: Haunted Halloween,tt5664636,5.6,11459,11,PL,2018,90.0,Adventure,Ari Sandel,63,35000000.0,46697321.0,46594157.0,58291478.0,117
Goosebumps 2: Haunted Halloween,tt5664636,5.6,11459,11,PL,2018,90.0,Comedy,Ari Sandel,63,35000000.0,46697321.0,46594157.0,58291478.0,117
Goosebumps 2: Haunted Halloween,tt5664636,5.6,11459,11,PL,2018,90.0,Family,Ari Sandel,63,35000000.0,46697321.0,46594157.0,58291478.0,117
Gotti,tt1801552,4.8,10358,10,BG,2018,112.0,Biography,Kevin Connolly,64,10000000.0,4286367.0,1802733.0,-3910900.0,61
Gotti,tt1801552,4.8,10358,10,BG,2018,112.0,Crime,Kevin Connolly,64,10000000.0,4286367.0,1802733.0,-3910900.0,61
Gotti,tt1801552,4.8,10358,10,BG,2018,112.0,Drama,Kevin Connolly,64,10000000.0,4286367.0,1802733.0,-3910900.0,61
Grabbers,tt1525366,6.3,15727,10,RU,2012,94.0,Comedy,Jon Wright,38,5300000.0,0.0,440821.0,-4859179.0,28
Grabbers,tt1525366,6.3,15727,10,RU,2012,94.0,Horror,Jon Wright,38,5300000.0,0.0,440821.0,-4859179.0,28
Grabbers,tt1525366,6.3,15727,10,RU,2012,94.0,Sci-Fi,Jon Wright,38,5300000.0,0.0,440821.0,-4859179.0,28
