,movie_id,directors,averagerating,numvotes,title,region,year,runtime_minutes,genres,production_budget,domestic_gross,foreign_gross,profit,roi
55,tt1517177,Tom Tykwer,6.7,4722,3,HK,2010,119.0,Drama,7200000.0,59774.0,235718.0,-6904508.0,-0.9589594444444445
55,tt1517177,Tom Tykwer,6.7,4722,3,HK,2010,119.0,Romance,7200000.0,59774.0,235718.0,-6904508.0,-0.9589594444444445
56,tt1686470,Victor Vu,6.3,50,Inferno,VN,2010,100.0,Thriller,75000000.0,34343574.0,185175793.0,144519367.0,1.9269248933333334
57,tt1518812,Kelly Reichardt,6.6,10439,Meek's Cutoff,FI,2010,104.0,Drama,2000000.0,977772.0,892156.0,-130072.0,-0.065036
57,tt1518812,Kelly Reichardt,6.6,10439,Meek's Cutoff,FI,2010,104.0,Western,2000000.0,977772.0,892156.0,-130072.0,-0.065036
58,tt1302067,Eric Brevig,4.6,18934,Yogi Bear,CL,2010,80.0,Adventure,80000000.0,100246011.0,104528679.0,124774690.0,1.559683625
58,tt1302067,Eric Brevig,4.6,18934,Yogi Bear,CL,2010,80.0,Animation,80000000.0,100246011.0,104528679.0,124774690.0,1.559683625
58,tt1302067,Eric Brevig,4.6,18934,Yogi Bear,CL,2010,80.0,Comedy,80000000.0,100246011.0,104528679.0,124774690.0,1.559683625
59,tt1303803,Stewart Raffill,3.3,658,Standing Ovation,US,2010,105.0,Musical,5600000.0,531806.0,0.0,-5068194.0,-0.9050346428571429
60,tt1055292,Greg Berlanti,6.6,113077,Life as We Know It,RO,2010,114.0,Comedy,38000000.0,53374681.0,52513156.0,67887837.0,1.7865220263157895
60,tt1055292,Greg Berlanti,6.6,113077,Life as We Know It,RO,2010,114.0,Drama,38000000.0,53374681.0,52513156.0,67887837.0,1.7865220263157895
60,tt1055292,Greg Berlanti,6.6,113077,Life as We Know It,RO,2010,114.0,Romance,38000000.0,53374681.0,52513156.0,67887837.0,1.7865220263157895
61,tt1523326,Maria Sødahl,6.0,457,Limbo,RU,2010,105.0,Drama,8300000.0,2160710.0,437514.0,-5701776.0,-0.6869609638554217
62,tt1053424,Miguel Sapochnik,6.3,96144,Repo Men,JP,2010,111.0,Action,32000000.0,13942007.0,4253231.0,-13804762.0,-0.4313988125
62,tt1053424,Miguel Sapochnik,6.3,96144,Repo Men,JP,2010,111.0,Crime,32000000.0,13942007.0,4253231.0,-13804762.0,-0.4313988125
62,tt1053424,Miguel Sapochnik,6.3,96144,Repo Men,JP,2010,111.0,Sci-Fi,32000000.0,13942007.0,4253231.0,-13804762.0,-0.4313988125
63,tt1305583,Rick Famuyiwa,4.9,6417,Our Family Wedding,RU,2010,103.0,Comedy,14000000.0,20255281.0,1155265.0,7410546.0,0.5293247142857143
63,tt1305583,Rick Famuyiwa,4.9,6417,Our Family Wedding,RU,2010,103.0,Romance,14000000.0,20255281.0,1155265.0,7410546.0,0.5293247142857143
64,tt1403981,Allen Coulter,7.1,129443,Remember Me,DK,2010,113.0,Drama,16000000.0,19068240.0,37437880.0,40506120.0,2.5316325
64,tt1403981,Allen Coulter,7.1,129443,Remember Me,DK,2010,113.0,Romance,16000000.0,19068240.0,37437880.0,40506120.0,2.5316325
65,tt1403865,Ethan Coen,7.6,284034,True Grit,RO,2010,110.0,Adventure,35000000.0,171243005.0,81033923.0,217276928.0,6.207912228571429
65,tt1403865,Ethan Coen,7.6,284034,True Grit,RO,2010,110.0,Drama,35000000.0,171243005.0,81033923.0,217276928.0,6.207912228571429
65,tt1403865,Ethan Coen,7.6,284034,True Grit,RO,2010,110.0,Western,35000000.0,171243005.0,81033923.0,217276928.0,6.207912228571429
67,tt1041804,Andrey Konchalovskiy,4.3,3119,The Nutcracker in 3D,PL,2010,110.0,Action,90000000.0,195459.0,20270557.0,-69533984.0,-0.7725998222222222
